Price,House_Type,Area_in_sq_ft,No._of_Bedrooms,Location,City/County
1095000,House,950,2,Wimbledon,London
2395000,House,3498,5,Kingston upon Thames,Surrey
550000,Flat / Apartment,904,2, Wimbledon,London
1500000,House,2583,5, Wandsworth,London
750000,Flat / Apartment,911,2, Wandsworth,London
1150000,House,1822,5, Wandsworth,London
665000,Flat / Apartment,647,2,Shannon Place,London
1250000,Flat / Apartment,1036,2,St. John's Wood,London
1895000,House,2564,5,Richmond,Surrey
600000,Flat / Apartment,632,2,70 Webb's Road,London
700000,Flat / Apartment,946,2,,London
2450000,House,3020,6,Clapham,London
1750000,Flat / Apartment,853,2,,London
895000,New development,1033,3,Islington,London
1000000,Flat / Apartment,884,1, Hampstead,London
2300000,House,2124,4,Fulham,London
375000,Flat / Apartment,444,1,Ealing,London
2150000,House,3177,5,Esher,Surrey
785000,New development,1474,3, Esher,Surrey
725000,New development,591,1,,London
2850000,House,5130,7,Richmond,Surrey
5950000,New development,11716,6,Oxshott,Surrey
985000,Flat / Apartment,1140,2,Thirleby Road,London
585000,Flat / Apartment,795,2,,London
995000,House,1993,5,Wandsworth,London
550000,Flat / Apartment,666,2, Shoreditch,London
7300000,Flat / Apartment,2230,3,Belgravia,London
1250000,Flat / Apartment,885,2,Primrose Hill,London
3750000,House,2396,4,Hyde Park Estate,London
430000,Studio,514,1,Clapham Common North Side,London
830000,Flat / Apartment,891,2,Clapham Common North Side,London
1100000,Flat / Apartment,635,1,Fitzrovia,London
3100000,New development,1410,3,Covent Garden,London
925000,Flat / Apartment,706,1,,London
2650000,House,3319,6,Highbury,London
450000,Flat / Apartment,569,2,Hurlock Street,London
650000,Flat / Apartment,720,2,Hackney,London
799950,Flat / Apartment,956,2, West Hampstead,London
1250000,Penthouse,1209,2, Fulham,London
2995000,House,5614,6,Esher,Surrey
2250000,House,3661,4,Esher,Surrey
2995000,House,7087,7,Esher,Surrey
1100000,New development,1629,3, East Molesey,Surrey
3350000,House,3770,6,Richmond,Surrey
775000,Flat / Apartment,810,1,Clerkenwell,London
800000,House,1080,3,Acton,London
1850000,House,1735,4,Barnes,London
1500000,House,1108,3,Barnes,London
1695000,House,2147,5,,London
750000,Flat / Apartment,686,1, Battersea,London
1985000,Flat / Apartment,1492,3, Battersea,London
1100000,Flat / Apartment,1125,2,St. John's Wood,London
650000,Flat / Apartment,674,2,Clerkenwell,London
4500000,House,2145,3,Belgravia,London
4750000,New development,2552,4,Notting Hill,London
995000,House,1706,5,Buckhurst Hill,Essex
2150000,House,2172,3,Highgate,London
695000,Flat / Apartment,964,2,Ealing,London
575000,Flat / Apartment,573,2,,London
1950000,Flat / Apartment,966,2,,London
2000000,House,2365,4,,London
1100000,Flat / Apartment,816,2,Star Place,London
1550000,House,2500,5,,London
649999,New development,569,1,211-227 Hackney Road,London
1500000,House,1868,5,Chiswick,London
725000,House,960,3,Hartington Road,London
785000,Flat / Apartment,739,2,,London
400000,Flat / Apartment,491,1,South Hackney,London
1395000,House,2141,4,Northwood,Middlesex
799950,House,1519,4,Northwood,Middlesex
975000,Bungalow,2169,3,Chigwell,Essex
4750000,House,2157,4,Belgravia,London
899950,Flat / Apartment,947,2,,London
925000,Flat / Apartment,931,2,Islington,London
1800000,House,1776,5,Fulham,London
2950000,House,3144,6,Fulham,London
795000,New development,825,2, Fulham,London
795000,Flat / Apartment,798,2, Imperial Wharf,London
499999,Flat / Apartment,452,1, Longfield Avenue,London
1450000,House,2523,4,Surbiton,Surrey
780000,New development,558,1,,London
398000,New development,461,1,Ashton Reach,London
570000,Flat / Apartment,680,2,,London
625000,House,1007,2,,London
1150000,House,1259,3,Barnes,London
655000,Flat / Apartment,703,2,Clerkenwell,London
375000,Flat / Apartment,482,1,Hoxton,London
2395000,House,2221,4,Primrose Hill,London
670000,Flat / Apartment,614,2,,London
1450000,House,1792,5,,London
1750000,Flat / Apartment,2203,3,Fitzrovia,London
2250000,House,1673,3,,London
1295000,Penthouse,1424,3,,London
1750000,House,2435,4,,London
700000,Flat / Apartment,707,2,,London
2100000,House,2137,5,Barnes,London
775000,House,1414,4,Battersea,London
1575000,House,2379,5,Wandsworth,London
650000,Flat / Apartment,1091,3,27 Frampton Park Road,London
8750000,New development,2755,3,6 Campden Hill,London
775000,Flat / Apartment,705,2, Richmond,Surrey
975000,House,1200,3,Northwood,Middlesex
699999,New development,878,2,5 Danvers Avenue,London
2250000,House,2344,5,,London
1750000,House,2540,5,East Sheen,London
1380000,House,1737,5,Chiswick,London
1595000,House,3069,5,Oxshott,Surrey
5500000,House,4666,7,Barnes,London
3050000,House,3717,5,Wimbledon,London
2350000,House,3594,5,Wimbledon,London
1600000,New development,1018,2,Barts Square,City Of London
6950000,Flat / Apartment,1840,3,,London
5250000,Flat / Apartment,2026,3,Knightsbridge,London
3375000,Flat / Apartment,913,2,Knightsbridge,London
1700000,Flat / Apartment,1138,3,13-15 St. Petersburgh Place,London
4650000,Penthouse,2231,4,Mayfair,London
2100000,Flat / Apartment,1074,2, Mayfair,London
7950000,House,3247,4,,London
390000,New development,506,1,2  City North Place,London
1650000,House,1684,4,,London
2000000,Flat / Apartment,1997,4,Earl's Court,London
1225000,House,1633,4,Richmond,Surrey
1585000,House,2055,4,,London
4250000,House,4774,7,Wandsworth,London
3950000,House,2815,4,,London
6500000,House,5196,6,,London
985000,Flat / Apartment,1295,3,Putney,London
1500000,Flat / Apartment,1275,3,Pimlico,London
465000,Flat / Apartment,543,1,,London
950000,House,1357,3,Wimbledon,London
699950,Flat / Apartment,786,2, Wimbledon,London
725000,Flat / Apartment,1134,2,Wandsworth,London
465000,Flat / Apartment,473,1,Shannon Place,London
500000,Flat / Apartment,451,1,Abbey Road,London
5750000,Flat / Apartment,2524,3,Knightsbridge,London
5450000,Flat / Apartment,1650,2,60 Brompton Road,London
775000,House,1169,3,,Twickenham
550000,Flat / Apartment,676,2,Richmond,Surrey
1500000,House,4023,7, Coulsdon,Surrey
775000,Flat / Apartment,820,2,Putney,London
699950,Penthouse,907,2, Putney,London
1550000,House,2052,4,,London
1850000,House,3247,7,,London
249999,Flat / Apartment,458,1,Streatham Hill,London
3300000,House,3448,4,Little Venice,London
1600000,Flat / Apartment,1402,2,Fitzrovia,London
1790000,Penthouse,890,2, Fitzrovia,London
